op_index,task_name,task_args,trial,costs,all_cost,best_cost,best_all_cost,cmp
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",11,5.2760622820569405e-06,1.4655201435089111,4.259612471012626e-06,1.4450702667236328,0.9826948001837826
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",12,2.6116234647632e-05,1.4882841110229492,4.259612471012626e-06,1.4450702667236328,0.8533616195330422
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",13,7.75212544661881e-06,1.420577049255371,4.259612471012626e-06,1.4450702667236328,0.9515791059081183
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",14,8.945469402773848e-06,1.0778729915618896,4.259612471012626e-06,1.4450702667236328,0.9400008844193651
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",15,6.032058136123607e-06,1.4663715362548828,4.259612471012626e-06,1.4450702667236328,0.9718663487868667
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",16,1.8905034507634966e-05,1.0686209201812744,4.259612471012626e-06,1.4450702667236328,0.8794913454494907
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",17,7.061209571331367e-06,1.0235486030578613,4.259612471012626e-06,1.4450702667236328,0.9591278835025141
0,dense_small_batch.gpu,"(('TENSOR', (1, 768), 'float32'), ('TENSOR', (768, 768), 'float32'), None, 'float32')",18,4.7953091748644855e-05,1.447007417678833,4.259612471012626e-06,1.4450702667236328,0.8042228675162338
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",154,0.04930561125,3.973421335220337,0.001659605028846154,1.4397437572479248,0.4701819721127601
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",201,0.04604794575,3.731924533843994,0.001659605028846154,1.4397437572479248,0.4808604387407039
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",203,0.0445155775,3.6207022666931152,0.001659605028846154,1.4397437572479248,0.4861475876014701
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",213,0.0452595541,3.6412034034729004,0.001659605028846154,1.4397437572479248,0.4835582813509209
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",215,0.056159852850000004,4.315646648406982,0.001659605028846154,1.4397437572479248,0.4498475439037715
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",282,0.040362839750000004,3.5206851959228516,0.001659605028846154,1.4397437572479248,0.5014462821067186
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",283,0.03297334835,2.9456677436828613,0.001659605028846154,1.4397437572479248,0.533035783083533
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",286,0.04072577695,3.9541375637054443,0.001659605028846154,1.4397437572479248,0.5000478391867406
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",289,0.0326187907,2.930534601211548,0.001659605028846154,1.4397437572479248,0.5347247049090235
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",292,0.049842284599999995,4.0944414138793945,0.001659605028846154,1.4397437572479248,0.4684907485481956
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",294,0.058016723699999995,4.486515998840332,0.001659605028846154,1.4397437572479248,0.4447657947141544
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",295,0.03975137635,3.5687358379364014,0.001659605028846154,1.4397437572479248,0.5038310140243508
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",299,0.04175265875,3.5441293716430664,0.001659605028846154,1.4397437572479248,0.4961576319749937
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",300,0.04151289815,3.593707323074341,0.001659605028846154,1.4397437572479248,0.49705730329859293
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",307,0.04689921655,3.8864641189575195,0.001659605028846154,1.4397437572479248,0.47799880533644595
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",322,0.04187309645,3.5358591079711914,0.001659605028846154,1.4397437572479248,0.49570765224316293
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",328,0.04304563585,3.6087417602539062,0.001659605028846154,1.4397437572479248,0.4913932384376773
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",352,0.0399125642,3.418835401535034,0.001659605028846154,1.4397437572479248,0.5031988331363236
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",353,0.04597335245,3.688255548477173,0.001659605028846154,1.4397437572479248,0.48111370761023126
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",363,0.0372109802,3.564685583114624,0.001659605028846154,1.4397437572479248,0.5141479596896845
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",371,0.04780312625,3.8408970832824707,0.001659605028846154,1.4397437572479248,0.47501652980893705
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",401,0.0504019389,4.067541837692261,0.001659605028846154,1.4397437572479248,0.46674639202806145
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",402,0.0335419595,3.220182418823242,0.001659605028846154,1.4397437572479248,0.5303647787201077
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",403,0.05330803155,4.089268684387207,0.001659605028846154,1.4397437572479248,0.45798903804439145
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",406,0.04559367425,3.829946756362915,0.001659605028846154,1.4397437572479248,0.4824092430283214
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",407,0.0326081242,3.0035133361816406,0.001659605028846154,1.4397437572479248,0.5347757983739632
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",409,0.05363758755,4.2244813442230225,0.001659605028846154,1.4397437572479248,0.4570262341227113
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",411,0.04140368645,3.5674941539764404,0.001659605028846154,1.4397437572479248,0.497468830233533
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",414,0.0101844328,1.4888014793395996,0.001659605028846154,1.4397437572479248,0.7165707018556964
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",415,0.0057369183125,1.5718185901641846,0.001659605028846154,1.4397437572479248,0.8062320709415387
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",416,0.007658862850000001,1.3816792964935303,0.001659605028846154,1.4397437572479248,0.761093279381363
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",417,0.004097435333333334,1.404371976852417,0.001659605028846154,1.4397437572479248,0.8588100591481324
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",418,0.06002975290000001,4.809344053268433,0.001659605028846154,1.4397437572479248,0.4394372403575643
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",419,0.054988093249999995,4.349802732467651,0.001659605028846154,1.4397437572479248,0.4531415425811242
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",420,0.05479448495,4.6770288944244385,0.001659605028846154,1.4397437572479248,0.4536925548232612
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",421,0.003875081547619047,1.267688274383545,0.001659605028846154,1.4397437572479248,0.8675263552698439
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",422,0.01252881525,1.6736814975738525,0.001659605028846154,1.4397437572479248,0.6842062012313094
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",423,0.004363578459459459,1.316730260848999,0.001659605028846154,1.4397437572479248,0.8489788621416108
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",424,0.00591941784375,1.3567087650299072,0.001659605028846154,1.4397437572479248,0.8013398571021273
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",425,0.02195711745,2.215233564376831,0.001659605028846154,1.4397437572479248,0.5965566561149469
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",428,0.004144414307692307,1.3217384815216064,0.001659605028846154,1.4397437572479248,0.8570291006497899
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",429,0.04644111995,3.811607599258423,0.001659605028846154,1.4397437572479248,0.47953222647222743
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",430,0.00544863009375,1.393519401550293,0.001659605028846154,1.4397437572479248,0.8142865239944319
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",431,0.01475512495,1.6592495441436768,0.001659605028846154,1.4397437572479248,0.6586547596641733
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",432,0.043807950549999995,3.7043473720550537,0.001659605028846154,1.4397437572479248,0.48865085648257156
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",433,0.006932388625,1.644932508468628,0.001659605028846154,1.4397437572479248,0.7766621518195899
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",434,0.0405225251,4.134714841842651,0.001659605028846154,1.4397437572479248,0.5008294514618881
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",435,0.0034205137083333334,1.4305107593536377,0.001659605028846154,1.4397437572479248,0.887019018375983
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",436,0.03561608055,3.1861398220062256,0.001659605028846154,1.4397437572479248,0.5209914912760961
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",437,0.0033676806874999997,1.479076862335205,0.001659605028846154,1.4397437572479248,0.8894508314757089
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",438,0.00409744917948718,1.450282096862793,0.001659605028846154,1.4397437572479248,0.8588095312421701
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",439,0.041588286099999996,3.857778787612915,0.001659605028846154,1.4397437572479248,0.4967738607188739
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",442,0.0477640572,3.8152081966400146,0.001659605028846154,1.4397437572479248,0.47514426022900536
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",443,0.033916829849999997,3.098691701889038,0.001659605028846154,1.4397437572479248,0.5286285086809588
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",446,0.042795735950000004,3.5810506343841553,0.001659605028846154,1.4397437572479248,0.49230281845722
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",448,0.01494451135,1.560171365737915,0.001659605028846154,1.4397437572479248,0.6566623722198975
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",449,0.007117737875,1.5005254745483398,0.001659605028846154,1.4397437572479248,0.7725401702497399
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",450,0.00544961003125,1.3478546142578125,0.001659605028846154,1.4397437572479248,0.8142584300798362
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",451,0.0041266602820512815,1.2975990772247314,0.001659605028846154,1.4397437572479248,0.857699765930651
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",452,0.002553132552238806,1.4573898315429688,0.001659605028846154,1.4397437572479248,0.9327090144467618
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",453,0.03425915035,3.037151336669922,0.001659605028846154,1.4397437572479248,0.5270596803671256
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",454,0.004082606102564103,1.317082166671753,0.001659605028846154,1.4397437572479248,0.8593764729765491
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",455,0.0032195754901960783,1.281554937362671,0.001659605028846154,1.4397437572479248,0.8964768484369039
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",456,0.008531209500000001,1.20524001121521,0.001659605028846154,1.4397437572479248,0.7442420583762098
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",457,0.003361823734693878,1.3540008068084717,0.001659605028846154,1.4397437572479248,0.8897227626532281
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",458,0.04049954735,3.5083401203155518,0.001659605028846154,1.4397437572479248,0.500918059764191
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",459,0.03843678375,3.6986591815948486,0.001659605028846154,1.4397437572479248,0.5090846668384689
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",460,0.0368625084,3.551156520843506,0.001659605028846154,1.4397437572479248,0.5156178275557664
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",481,0.0032555398448275864,1.6628952026367188,0.001659605028846154,1.4397437572479248,0.8947414488856804
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",482,0.0372184679,3.2957210540771484,0.001659605028846154,1.4397437572479248,0.5141165275540093
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",483,0.003799982595238095,1.4055542945861816,0.001659605028846154,1.4397437572479248,0.8705836406361537
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",484,0.00286391175,1.4003095626831055,0.001659605028846154,1.4397437572479248,0.9147642829710512
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",485,0.03333920705,3.144369602203369,0.001659605028846154,1.4397437572479248,0.5313119616302993
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",486,0.00322878204,1.3859760761260986,0.001659605028846154,1.4397437572479248,0.8960307626923372
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",487,0.0081139509,1.1625995635986328,0.001659605028846154,1.4397437572479248,0.7520759680281154
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",488,0.0044976999999999994,1.436314344406128,0.001659605028846154,1.4397437572479248,0.8442494673562276
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",489,0.0047317110303030305,1.4173662662506104,0.001659605028846154,1.4397437572479248,0.8363258100520461
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",490,0.004302617999999999,1.3520808219909668,0.001659605028846154,1.4397437572479248,0.8511767074225831
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",491,0.011805515649999999,1.4717590808868408,0.001659605028846154,1.4397437572479248,0.6934958012185429
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",492,0.00681213275,1.6069347858428955,0.001659605028846154,1.4397437572479248,0.7793958969083652
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",493,0.005095182656250001,1.3660204410552979,0.001659605028846154,1.4397437572479248,0.8247640840213244
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",494,0.00532028190625,1.3365368843078613,0.001659605028846154,1.4397437572479248,0.818010515903267
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",495,0.006492633875,1.5793437957763672,0.001659605028846154,1.4397437572479248,0.7869002943343283
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",496,0.0334687814,3.4361255168914795,0.001659605028846154,1.4397437572479248,0.5307059772364664
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",497,0.03096948995,3.0404579639434814,0.001659605028846154,1.4397437572479248,0.5428304033611383
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",498,0.004507567971428571,1.410902976989746,0.001659605028846154,1.4397437572479248,0.8439070926533686
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",499,0.0031306067500000002,1.423659086227417,0.001659605028846154,1.4397437572479248,0.9008545880109115
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",500,0.00490649921875,1.3673381805419922,0.001659605028846154,1.4397437572479248,0.8306590665713088
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",501,0.006209152125,1.4808461666107178,0.001659605028846154,1.4397437572479248,0.7938746274875111
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",502,0.0038080877073170733,1.4470446109771729,0.001659605028846154,1.4397437572479248,0.8702507857597599
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",503,0.0371096397,3.3025906085968018,0.001659605028846154,1.4397437572479248,0.5145739936706676
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",504,0.00504171640625,1.3262763023376465,0.001659605028846154,1.4397437572479248,0.8264120524293087
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",505,0.002726887433333333,1.314769983291626,0.001659605028846154,1.4397437572479248,0.9224234401945425
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",506,0.0047810632121212115,1.3036456108093262,0.001659605028846154,1.4397437572479248,0.8347048462549548
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",507,0.004591968735294117,1.3412957191467285,0.001659605028846154,1.4397437572479248,0.8410090164385687
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",508,0.003907413902439025,1.3703680038452148,0.001659605028846154,1.4397437572479248,0.8662283058983848
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",509,0.0034274383404255325,1.380185842514038,0.001659605028846154,1.4397437572479248,0.8867030770813564
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",510,0.004002613225000001,1.387237310409546,0.001659605028846154,1.4397437572479248,0.8624677927882183
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",511,0.0065521879375000005,1.608808994293213,0.001659605028846154,1.4397437572479248,0.7854738773204588
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",512,0.00321793918,1.3837275505065918,0.001659605028846154,1.4397437572479248,0.8965562662028499
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",513,0.0039741164,1.4714570045471191,0.001659605028846154,1.4397437572479248,0.8635839971188957
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",514,0.00493581878125,1.345362663269043,0.001659605028846154,1.4397437572479248,0.8297283196050047
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",515,0.033150277,3.2066056728363037,0.001659605028846154,1.4397437572479248,0.5321997705363526
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",516,0.005544847375,1.4616708755493164,0.001659605028846154,1.4397437572479248,0.8115518892213228
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",517,0.01863022525,1.8805475234985352,0.001659605028846154,1.4397437572479248,0.6222247643449155
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",518,0.01055301505,1.457916498184204,0.001659605028846154,1.4397437572479248,0.711016839653277
1,dense_large_batch.gpu,"(('TENSOR', (128, 3072), 'float32'), ('TENSOR', (768, 3072), 'float32'), None, 'float32')",519,0.003728307279069768,1.3579745292663574,0.001659605028846154,1.4397437572479248,0.8735584330062426
